Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
test,143,3,0.000773035295498335,0.000666159236440795,0.00127474555681661,0.0105224408099789,0.998697040810655,0.619855808175191,0.619807871128796,4.79370463946083e-05,0.00773358025566161
validation,144,1,0.0055356902487137,0.00479125722790906,0.00938648084923799,0.00811917776803422,0.999924380291127,0.940549212084493,0.941177138469118,0.000627926384624389,0.0667616724948125
validation,144,2,0.00278254597006223,0.00234605514496086,0.00518526221462121,0.00711183326861421,0.999952210295933,1.04785539471789,1.04850161281606,0.000646218098166118,0.0616705417010423
validation,144,3,0.00125694228740681,0.0010062345800796,0.00284882495007699,0.0171093103999494,0.999594342540927,0.575244792601111,0.5737676663139,0.00147712628721153,0.256782209280389
train,145,1,0.0013128713407232,0.00113731881419566,0.00239200857490257,0.00192558386090443,0.999994812156989,0.896281210354436,0.896327322549519,4.61121950826593e-05,0.00514483563305139
train,145,2,0.00175506314367194,0.00144637354561216,0.00342190925522212,0.00448571796763725,0.999945632962119,0.727542133055917,0.729690728388462,0.00214859533254497,0.295322461053927
train,145,3,0.000912250603454159,0.000776531237024222,0.0020174676685516,0.0124174187577372,0.999424933535744,0.627942977291574,0.627234506207245,0.000708471084329365,0.112824111416155
train,146,1,0.00151177268968229,0.0011702904524447,0.00308023116942624,0.00221731178243614,0.999996319503714,1.43617567819587,1.43924359449388,0.00306791629801051,0.213617062632925
train,146,2,0.00100424592656738,0.000806274794956884,0.00247244448971456,0.00256672474319353,0.999976289519955,0.782918810209757,0.783554410688602,0.000635600478845033,0.081183447192276
train,146,3,0.000507887340124231,0.000410739503328877,0.00116779704636133,0.0069132865028494,0.999937396606789,0.620665208784199,0.621248797715162,0.000583588930962997,0.0940263644076604
train,147,1,0.00139144684861138,0.00119899275324716,0.00263084329255148,0.00204083028693159,0.999997011618039,1.41262062260373,1.41462232077608,0.00200169817235074,0.141701044167203
train,147,2,0.00201770352507514,0.00174058299974897,0.00397553212160609,0.00515699334717861,0.999864881095193,0.486277511549679,0.489261759455017,0.00298424790533786,0.613692353534424
train,147,3,0.000591197371341861,0.000470095503428885,0.00137831986786618,0.00804729018608341,0.999956701772589,0.635863213628441,0.636905629875102,0.00104241624666124,0.163937184023097
